Threads,Informs,Total Time (s),CPU Usage (%),Peak Heap (MB),RSS Memory (MB)
1,1000,4.35,57.48,90.61,408.3
1,5000,41.88,65.58,291.01,887.99
1,10000,122.91,71.58,563.08,1259.84
2,1000,2.38,109.04,89.16,489.67
2,5000,12.27,120.21,291.62,905.3
2,10000,29.5,133.67,562.0,1499.28
4,1000,1.68,213.76,88.62,586.73
4,5000,7.53,233.89,289.96,1010.21
4,10000,19.29,243.88,562.29,1553.86
8,1000,1.72,408.44,91.4,770.74
8,5000,7.22,429.33,290.78,1220.3
8,10000,14.86,424.41,562.77,1798.77
16,1000,2.02,604.67,90.43,975.11
16,5000,6.83,618.62,290.38,1479.21
16,10000,14.13,598.23,561.57,2037.49
